,length (m),temperature (°C),Stokes,anti-Stokes
0,-747.2,-19.014,-0.44299999999999995,0.281
1,-746.185,345.49199999999996,-0.278,-0.557
2,-745.171,-37.275999999999996,0.43200000000000005,-0.23600000000000002
3,-744.1560000000001,-83.016,0.494,-0.162
4,-743.1419999999999,-25.428,-0.956,0.5770000000000001
5,-742.127,159.11700000000002,-0.17,0.242
6,-741.112,-200.0,0.028999999999999998,0.9329999999999999
7,-740.0980000000001,298.33099999999996,-0.345,0.648
8,-739.0830000000001,-93.73700000000001,1.181,0.332
9,-738.069,-200.0,0.009000000000000001,-0.48200000000000004
10,-737.054,113.354,0.263,-0.325
11,-736.039,55.918,0.23800000000000002,0.235
12,-735.025,800.0,-0.127,-0.418
13,-734.01,-28.519000000000002,-0.513,0.302
14,-732.9960000000001,69.483,-0.17600000000000002,0.185
15,-731.9810000000001,1.935,-0.33299999999999996,-0.245
16,-730.966,-76.868,-1.188,0.424
17,-729.952,800.0,0.07400000000000001,-0.268
18,-728.937,-54.486000000000004,-0.267,0.12300000000000001
19,-727.923,183.989,-0.593,0.895
20,-726.908,141.392,0.171,-0.231
21,-725.8939999999999,-113.51700000000001,0.484,0.09699999999999999
22,-724.8789999999999,-35.461999999999996,0.42700000000000005,-0.237
23,-723.8639999999999,-80.625,-0.495,-0.168
24,-722.85,800.0,0.068,0.221
25,-721.835,-200.0,0.023,0.289
26,-720.821,-21.211,-0.9890000000000001,-0.616
27,-719.806,-104.281,1.314,-0.311
28,-718.791,86.925,-0.04,-0.045
29,-717.7769999999999,275.395,-0.44,0.795
30,-716.762,800.0,-0.20199999999999999,0.61
31,-715.748,-200.0,0.035,0.456
32,-714.7330000000001,74.21300000000001,-0.884,-0.946
33,-713.7180000000001,-200.0,0.018000000000000002,0.214
34,-712.704,800.0,-0.028999999999999998,-0.08199999999999999
35,-711.689,407.147,0.48700000000000004,-1.0490000000000002
36,-710.675,170.12599999999998,-0.1,-0.146
37,-709.66,325.97700000000003,0.433,-0.845
38,-708.645,-92.18,-0.738,-0.212
39,-707.6310000000001,151.243,-0.259,-0.359
40,-706.6160000000001,800.0,0.147,0.5589999999999999
41,-705.602,-78.405,-0.141,0.049
42,-704.587,136.592,-0.36200000000000004,-0.48100000000000004
43,-703.572,4.731,0.39899999999999997,0.299
44,-702.558,-72.62,-0.43200000000000005,0.162
45,-701.543,-193.081,0.76,-0.006999999999999999
46,-700.529,-62.832,0.687,-0.29
47,-699.5139999999999,-22.754,-0.586,-0.361
48,-698.4989999999999,313.712,0.434,-0.831
49,-697.485,-26.967,0.8540000000000001,0.508
50,-696.47,-146.8,-0.84,-0.07400000000000001
51,-695.456,688.0010000000001,0.092,-0.245
52,-694.441,800.0,-0.125,0.483
53,-693.426,312.767,0.158,-0.303
54,-692.4119999999999,342.695,0.679,-1.354
55,-691.3969999999999,43.736000000000004,0.259,0.24100000000000002
56,-690.383,-46.596000000000004,-0.634,-0.317
57,-689.368,56.041000000000004,-0.278,-0.275
58,-688.3539999999999,675.8760000000001,0.20800000000000002,0.551
59,-687.3389999999999,600.497,0.282,-0.7140000000000001
60,-686.324,-200.0,0.009000000000000001,-0.11800000000000001
61,-685.31,57.019,-0.267,0.265
62,-684.295,11.290999999999999,-0.48700000000000004,-0.38
63,-683.2810000000001,438.44300000000004,-0.051,-0.113
64,-682.2660000000001,800.0,-0.275,-0.927
65,-681.2510000000001,94.00299999999999,-0.349,-0.40299999999999997
66,-680.237,-116.03,0.156,0.03
67,-679.222,102.686,-0.621,-0.74
68,-678.2080000000001,-11.17,0.431,0.289
69,-677.193,159.441,0.272,-0.385
70,-676.178,-36.826,-0.446,-0.244
71,-675.164,-18.509,-0.462,0.294
72,-674.1489999999999,800.0,-0.24,0.6970000000000001
73,-673.135,269.55400000000003,0.039,-0.07
74,-672.12,-110.83,0.851,0.17800000000000002
75,-671.105,800.0,-0.198,0.8079999999999999
76,-670.091,-200.0,0.012,0.19899999999999998
77,-669.076,-90.492,0.511,0.151
78,-668.062,421.277,-0.266,-0.58
79,-667.047,-29.465999999999998,0.544,-0.317
80,-666.0319999999999,98.897,0.599,-0.7040000000000001
81,-665.018,606.293,0.062,0.158
82,-664.003,-178.753,-0.584,-0.013999999999999999
83,-662.9889999999999,47.781000000000006,-0.585,-0.555
84,-661.9739999999999,-200.0,-0.10300000000000001,-0.77
85,-660.959,67.972,0.429,-0.446
86,-659.945,800.0,-0.163,0.509
87,-658.93,86.352,0.41100000000000003,0.461
88,-657.916,-133.417,-0.231,-0.03
89,-656.9010000000001,-118.749,-0.5660000000000001,-0.10099999999999999
90,-655.8860000000001,-200.0,-0.043,-0.413
91,-654.872,424.32800000000003,-0.145,0.318
92,-653.857,800.0,0.19899999999999998,-0.5720000000000001
93,-652.8430000000001,4.629,0.48100000000000004,0.359
94,-651.828,-196.415,0.21600000000000003,0.001
95,-650.814,77.874,0.14400000000000002,0.156
96,-649.799,317.97900000000004,0.365,0.7020000000000001
